Dick Morris	None	0	0	0	0	2	0
Joe Cunningham	Democrat	0	2	0	0	0	0
Zephyr Teachout	Democrat	0	0	1	0	0	0
William Barber	Activist	0	1	0	0	1	0
AmeriPAC	Republican	0	0	1	1	0	1
Forbes blog	None	0	0	1	0	0	0
Joshua Henne	None	0	0	0	0	1	0
Dan Sullivan	Republican	0	0	2	2	2	0
Gen. Peter Chiarelli	None	1	0	0	0	0	0
Jeff Bridges	Activist	0	0	0	0	1	0
John Thrasher	Republican	1	0	0	2	1	1
Russ Carnahan	Democrat	0	0	0	0	1	0
Jon Runyan	Republican	0	0	0	1	3	0
James Brown	None	1	0	0	0	0	0
James Woods	None	1	0	0	0	1	1
Fight for the Future	Organization	0	1	1	0	0	0
Derek Ryan	Republican	1	0	0	0	0	0
Kelly Loeffler	Republican	0	0	0	4	1	0
Bob Graham	Democrat	0	1	1	1	0	0
Rebecca Kleefisch	Republican	2	1	5	3	7	1
Michael Morell	None	1	1	0	0	0	0
Jason Keller	Labor leader	0	0	0	0	1	0
Sergio Marchionne	None	0	0	1	0	0	0
Gayle Smith	Democrat	0	2	1	0	0	0
Milwaukee County Sheriff's Office	None	0	0	0	0	0	0
Michael M. Crow	None	0	1	0	0	0	0
Jim Petro	Republican	0	1	0	0	0	0
Americans for Common Sense Solutions	None	0	0	0	1	0	0
Matt Lauer	None	0	0	0	1	0	0
Donald Payne	Democrat	0	0	0	0	0	0
Marina Dimitrijevic	Democrat	0	0	2	1	1	0
Janel Brandtjen	Republican	0	0	0	1	1	0
Nick Freitas	Republican	1	1	2	0	0	0
Henry Cisneros	Democrat	1	1	0	0	0	0
David Lewis	Republican	1	0	2	1	0	0
Florida Chamber of Commerce	None	1	2	1	0	1	1
Alabama's Future	Organization	0	0	0	1	0	0
Kathleen Sullivan	Activist	0	0	0	0	1	0
John Stone	Republican	0	0	1	0	0	0
Ta-Nehisi Coates	Journalist	1	0	0	0	0	0
Mark Critz	Democrat	0	0	1	0	0	0
Bill Powers	None	0	0	0	1	0	0
Americans For Prosperity, North Carolina chapter	Organization	0	0	1	0	0	0
Amy Klobuchar	Democrat	5	8	4	1	1	0
Kelly Alexander	Democrat	1	0	0	0	0	0
Gery Chico	None	0	0	1	1	0	0
Jeff Merkley	Democrat	5	6	3	0	1	0
Colorado's Voice	Organization	0	0	0	1	0	0
Diana DeGette	Democrat	0	1	1	0	0	0
JoAnne Kloppenburg	None	0	2	0	2	1	1
Andy Berke	Democrat	1	0	0	0	0	0
Citizens for Transportation Mobility	None	0	1	2	1	0	0
Adam Schiff	Democrat	1	0	0	0	1	0
Club for Growth	None	4	5	5	8	6	0
